,id,state,managers,created_on,modified,next_contact_date,tier,nickname,external_id,ext_acct_id,license_number,old_license_number,license_inactive,business_identifier,ein,directions,delivery_preferences,currency,shipping_charge,brand,name,dba,business_license_name,description,website,address,old_address,unit_number,zipcode,city,county,country,lat,long,phone,phone_extension,email,notes,leaflink_last_views,leaflink_source,reason,archived,delinquent,discount_percent,owner,partner,price_schedule,service_zone,license_type,payment_term,status,reason_product,external_ids
0,430940,CA,[],2020-05-25T13:00:22.942204-07:00,2020-05-25T14:00:01.170188-07:00,,,,,,C9-0000333-LIC,,False,,,,,USD,,,Blue Zen Ventures Management,Blue Zen Ventures Management,,,,7700 Edgewater Dr Suite 606a,,,94605,OAKLAND,,,37.744123,-122.203195,4245222590,,,,,True,,False,False,0.0000,5301,10296.0,,,96.0,,,,{}
1,161433,CA,[],2018-12-03T11:18:46.989934-08:00,2018-12-14T09:19:47.032210-08:00,,,,,,A10-17-00000069,,False,,,,,USD,,,Blum DELETE,,,,,2911 Tech Center Dr,,,92705,Santa Ana,,,33.708560,-117.856051,7142834203,,,,,False,,True,False,0.0000,5301,,,1442.0,32.0,,,,{}
2,113292,CA,[],2018-05-30T14:02:13.227812-07:00,2018-11-06T07:27:34.716729-08:00,,,Blum - Oakland,,,A10-18-0000335,,False,,,,,USD,,,Blum - Oakland,,,,,578 W Grand Ave,,,94612,Oakland,,,37.812538,-122.270927,5103383632,,contact@blumoak.com,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
3,113293,CA,[],2018-05-30T14:02:13.343486-07:00,2018-12-14T09:20:43.048471-08:00,,,Blum SA,,,A10-17-0000064,,False,,,,,USD,,,Blum SA,,,,,2911 Tech Center Dr,,,92705,Santa Ana,,,33.705632,-117.855640,9492384203,,nv-info@letsblum.com,,,False,,True,False,0.0000,5301,5620.0,,1442.0,32.0,1.0,,,{}
4,516094,CA,[17836],2020-09-17T15:21:39.174143-07:00,2020-09-17T15:21:39.174171-07:00,,,,,,C12-0000105-LIC,,False,,,,,USD,,,Brown Dog,,,,,"66595 Pierson Blvd, Desert Hot Springs, CA 92240",,,92240,Desert hot springs,,,33.961161,-116.499555,7602515300,,,,,False,,False,False,0.0000,5301,5386.0,,,98.0,3.0,,,{}
5,122778,CA,[35250],2018-07-06T07:58:56.493089-07:00,2020-03-06T12:22:14.813717-08:00,,,Capitol Compliance,,,A11-18-0000197-TEMP,,False,,,,,USD,,,BSeen,,,,,5711 Florin Perkins Rd,,Unit J & I,95828,Sacramento,,,38.522987,-121.389767,,,,,,False,,False,False,0.0000,5301,,,,31.0,4.0,1055.0,,{}
6,113294,CA,[8502],2018-05-30T14:02:13.480780-07:00,2020-08-03T20:43:07.576216-07:00,,,Bud and Bloom,,,C10-0000044-LIC,,False,,,,"<p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;""><b>Email Invoice, COAs, and requested delivery date to:<o:p></o:p></b></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;"">miked@glasshousegroup.com<o:p></o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;"">glen@budandbloomoc.com<o:p></o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;"">receiving@budandbloomoc.com<o:p></o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;"">sam@budandbloomoc.com<o:p></o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;""><o:p>&nbsp;</o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;"">Before delivery you MUST receive our confirmation email.<o:p></o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;"">Please do not call the shop for delivery scheduling<o:p></o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;"">Deliveries are accepted M-F 7:30am-5pm.<o:p></o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;""><o:p>&nbsp;</o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;""><b>PAD product and staff samples</b> need to be on SEPARATE invoices and SEPARATE Metrc manifests. Please also make a notation on the paperwork so we are aware its PAD product or samples.</p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;""><o:p><br></o:p></p><p class=""MsoNormal"" style=""margin: 0in; font-size: 12pt; font-family: Calibri, sans-serif;""><o:p>AR Contact: Sam</o:p></p><p><br></p>",USD,,,Bud and Bloom,,,,,1327 E St Gertrude Pl,,,92705,Santa Ana,,,33.719851,-117.852724,7145762150,,,,2019-07-19T18:18:28.860258-07:00,False,,False,False,0.0000,5301,3645.0,287.0,1442.0,83.0,3.0,1055.0,,{}
7,130086,CA,[],2018-08-08T08:13:14.812147-07:00,2018-08-08T08:13:16.705315-07:00,,,,,,A10-18-0000336-TEMP,,False,,,,,USD,,,Buddha Company,,,,,2038 Sacramento Street,,,90021,Los Angeles,,,34.030287,-118.230642,,,,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
8,469162,CA,[],2020-07-14T11:42:01.406503-07:00,2020-07-14T11:42:01.406532-07:00,,,,,,C10-0000603-LIC,,False,,,<p>jp@budsandroses.com&nbsp;</p><p>ajustis@budsandroses.com&nbsp;</p>,,USD,,,Buds & Roses,,,,,13047 Ventura Blvd,,,,Los Angeles,,,34.141862,-118.374342,8189078852,,jp@budsandroses.com,,,False,,False,False,0.0000,5301,3575.0,,1440.0,83.0,,,,{}
9,113295,CA,[],2018-05-30T14:02:13.599172-07:00,2018-05-30T14:45:00.884946-07:00,,,CA Collective,,,A10-18-0000352,,False,,,,,USD,,,CA Collective,,,,,210 Phelan Ave,,,95112,San Jose,,,,,4088094301,,casystematize@gmail.com,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
10,198847,CA,[32436],2019-04-02T16:38:48.536945-07:00,2020-09-22T11:25:46.624347-07:00,,,,,,A10-18-0000276-TEMP,,False,,,,<p>Thursday and Friday</p>,USD,,,CAC Venice,,,,,122 Lincoln Blvd,,Suite 204,92091,venice,,,33.955861,-118.415384,4247448507,,info@cacvenice.com,,,False,,False,False,0.0000,5301,,413.0,1440.0,32.0,4.0,,,{}
11,477077,CA,[],2020-07-26T18:20:23.463181-07:00,2020-07-26T18:20:23.463224-07:00,,,,,,C10-0000561-LIC,,False,,,,,USD,,,Calaveras Little Trees,Calaveras Little Trees,,<p>Medical Only Calaveras Cannabis Retailer Since 2013 </p><p>Contact: Lara </p>,http://www.calaveraslittletrees.com,2641 Highway 4 Ste 7,,,95223,Arnold,,,38.233472,-120.367015,2098903647,,,,,True,,False,False,0.0000,5301,3777.0,,,83.0,,,,{}
12,414870,CA,[],2020-04-25T11:00:21.809404-07:00,2020-04-25T12:00:00.650808-07:00,,,,,,C11-0001153-LIC,,False,,,,,USD,,,Cal Hwy 101,Cal Hwy 101,Cal Hwy 101 Inc.,<p>Eureka distribution company.</p>,,23 5th Street Suite B,,,95501,Eureka,Humboldt,,40.801510,-124.170781,9493656585,,,,,True,,False,False,0.0000,5301,8865.0,,,97.0,,,,{}
13,415647,CA,[8502],2020-04-27T12:16:42.939415-07:00,2020-04-27T12:16:44.486999-07:00,,,,,,C11-0001153-LIC,,False,,,,,USD,,,Cal Hwy 101,,,,,23 5th Street,,Suite B,95501,Eureka,,,40.803886,-124.151497,9493656585,,roger@contactherrick.com,,,False,,False,False,0.0000,5301,,,,83.0,,,,{}
14,113296,CA,[],2018-05-30T14:02:13.729168-07:00,2018-11-06T07:34:03.307119-08:00,,,California Alternative Caregivers (CAC),,,A10-18-0000245,,False,,,,,USD,,,California Alternative Caregivers (CAC),,,,,122 Lincoln Blvd,,,90291,Venice,,,,,8772193809,,CCAsilverlake@yahoo.com,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
